name,era,url
Alessandro Scarlatti,Baroque,https://www.cglib.org/category/baroque/scarlatti-alessandro/
Domenico Scarlatti,Baroque,https://www.cglib.org/category/baroque/scarlatti-domenico/
Johann Hermann Schein,Baroque,https://www.cglib.org/category/baroque/schein-johann-hermann/
Antonio Soler,Baroque,https://www.cglib.org/category/baroque/soler-antonio/
Luc St,Baroque,https://www.cglib.org/category/baroque/st-luc-jacques/
Giovanni Stefani,Baroque,https://www.cglib.org/category/baroque/stefani-giovanni/
Georg Philipp Telemann,Baroque,https://www.cglib.org/category/baroque/telemann-georg-philipp/
Nicolaes Vallet,Baroque,https://www.cglib.org/category/baroque/vallet-nicolaes/
Robert de Visee,Baroque,https://www.cglib.org/category/baroque/visee-robert-de/
Antonio Vivaldi,Baroque,https://www.cglib.org/category/baroque/vivaldi-antonio/
Johann Georg Weichenberger,Baroque,https://www.cglib.org/category/baroque/weichenberger-johann-georg/
Sylvius Leopold Weiss,Baroque,https://www.cglib.org/category/baroque/weiss-sylvius-leopold/
John Wilson,Baroque,https://www.cglib.org/category/baroque/wilson-john/
Fray Gregorio Zuola,Baroque,https://www.cglib.org/category/baroque/zuola-fray-gregorio/
