name,era,url
Johann Nepomuk Hummel,Classical,https://www.cglib.org/category/classical/hummel-johann-nepomuk/
Nicolas Isouard,Classical,https://www.cglib.org/category/classical/isouard-nicolas/
Louis Emmanuel Jadin,Classical,https://www.cglib.org/category/classical/jadin-louis-emmanuel/
Johann Nepomuk Kapeller,Classical,https://www.cglib.org/category/classical/kapeller-johann-nepomuk/
George Kiallmark,Classical,https://www.cglib.org/category/classical/kiallmark-george/
Joseph Kuffner,Classical,https://www.cglib.org/category/classical/kuffner-joseph/
Frederik Kuhlau,Classical,https://www.cglib.org/category/classical/kuhlau-frederik/
Ysidro Laporta,Classical,https://www.cglib.org/category/classical/laporta-ysidro/
Tomás Lardíes,Classical,https://www.cglib.org/category/classical/lardies-tomas/
António da Silva Leite,Classical,https://www.cglib.org/category/classical/leite-antonio-da-silva/
Charles de Marescot,Classical,https://www.cglib.org/category/classical/marescot-charles-de/
Atanasio Martiní Ignacio Vicente Martín y Soler,Classical,https://www.cglib.org/category/classical/martin-y-soler-atanasio-martini-ignacio-vicente/
Johann Paul Aegidius Martini,Classical,https://www.cglib.org/category/classical/martini-johann-paul-aegidius/
Wenzel Thomas Matiegka,Classical,https://www.cglib.org/category/classical/matiegka-wenzel-thomas/
Joseph Mayseder,Classical,https://www.cglib.org/category/classical/mayseder-joseph/
Etienne-Nicolas Mehul,Classical,https://www.cglib.org/category/classical/mehul-etienne-nicolas/
Joseph Meissonnier,Classical,https://www.cglib.org/category/classical/meissonnier-joseph/
Simon Molitor,Classical,https://www.cglib.org/category/classical/molitor-simon/
Federico Moretti,Classical,https://www.cglib.org/category/classical/moretti-federico/
Luigi Moretti,Classical,https://www.cglib.org/category/classical/moretti-luigi/
Michele Mortellari,Classical,https://www.cglib.org/category/classical/mortellari-michele/
Wolfgang Amadeus Mozart,Classical,https://www.cglib.org/category/classical/mozart-wolfgang-amadeus/
Wenzel Muller,Classical,https://www.cglib.org/category/classical/muller-wenzel/
François Joseph Naderman,Classical,https://www.cglib.org/category/classical/naderman-francois-joseph/
Ferdinando Paer,Classical,https://www.cglib.org/category/classical/paer-ferdinando/
Giovanni Paisiello,Classical,https://www.cglib.org/category/classical/paisiello-giovanni/
John Parry,Classical,https://www.cglib.org/category/classical/parry-john/
Ignaz Joseph Pleyel,Classical,https://www.cglib.org/category/classical/pleyel-ignaz-joseph/
Vincenzo Pucitta,Classical,https://www.cglib.org/category/classical/pucitta-vincenzo/
Jon Fredr Reinhardt,Classical,https://www.cglib.org/category/classical/reinhardt-jon-fredr/
Pierre Rode,Classical,https://www.cglib.org/category/classical/rode-pierre/
Andrés Rosquellas,Classical,https://www.cglib.org/category/classical/rosquellas-andres/
Claude Rouget de Lisle,Classical,https://www.cglib.org/category/classical/rouget-de-lisle-claude/
Christian Gottlieb Scheidler,Classical,https://www.cglib.org/category/classical/scheidler-christian-gottlieb/
Hans Schmid-Kayser,Classical,https://www.cglib.org/category/classical/schmid-kayser-hans/
Vincenz Schuster,Classical,https://www.cglib.org/category/classical/schuster-vincenz/
Fernando Sor,Classical,https://www.cglib.org/category/classical/sor-fernando/
Gaspare Spontini,Classical,https://www.cglib.org/category/classical/spontini-gaspare/
Ph Süssmann,Classical,https://www.cglib.org/category/classical/sussmann-ph/
Angelo Tarchi,Classical,https://www.cglib.org/category/classical/tarchi-angelo/
Waldemar Thrane,Classical,https://www.cglib.org/category/classical/thrane-waldemar/
Pedro Ximenes Abril Tirado,Classical,https://www.cglib.org/category/classical/tirado-pedro-ximenes-abril/
Vincenz Franz Tuczek,Classical,https://www.cglib.org/category/classical/tuczek-vincenz-franz/
Christoph Ernst Friedrich Weyse,Classical,https://www.cglib.org/category/classical/weyse-christoph-ernst-friedrich/
Alois Joseph Anton Balthasar Wolf,Classical,https://www.cglib.org/category/classical/wolf-alois-joseph-anton-balthasar/
