name,era,url
Quintin Esquembre,Contemporary,https://www.cglib.org/category/20th-century/esquembre-quintin/
Manuel de Falla,Contemporary,https://www.cglib.org/category/20th-century/falla-manuel-de/
Eduardo Falú,Contemporary,https://www.cglib.org/category/20th-century/falu-eduardo/
Marius Faraill,Contemporary,https://www.cglib.org/category/20th-century/faraill-marius/
Ferenc Farkas,Contemporary,https://www.cglib.org/category/20th-century/farkas-ferenc/
Giuseppe Farrauto,Contemporary,https://www.cglib.org/category/20th-century/farrauto-giuseppe/
Carmen Farré de Prat,Contemporary,https://www.cglib.org/category/20th-century/farre-de-prat-carmen/
Abel Fleury,Contemporary,https://www.cglib.org/category/20th-century/fleury-abel/
Tancredi Forneris,Contemporary,https://www.cglib.org/category/20th-century/forneris-tancredi/
Daniel Fortea,Contemporary,https://www.cglib.org/category/20th-century/fortea-daniel/
Hans Frankowski,Contemporary,https://www.cglib.org/category/20th-century/frankowski-hans/
Slavko Fumic,Contemporary,https://www.cglib.org/category/20th-century/fumic-slavko/
Alfonso Galluzzo,Contemporary,https://www.cglib.org/category/20th-century/galluzzo-alfonso/
Annibal Augusto Sardinha Garoto,Contemporary,https://www.cglib.org/category/20th-century/garoto-annibal-augusto-sardinha/
Lisanella Gentili,Contemporary,https://www.cglib.org/category/20th-century/gentili-lisanella/
Fernando Germani,Contemporary,https://www.cglib.org/category/20th-century/germani-fernando/
George Gershwin,Contemporary,https://www.cglib.org/category/20th-century/gershwin-george/
Antonio Giacomino,Contemporary,https://www.cglib.org/category/20th-century/giacomino-antonio/
Alberto Ginastera,Contemporary,https://www.cglib.org/category/20th-century/ginastera-alberto/
Radamés Gnattali,Contemporary,https://www.cglib.org/category/20th-century/gnattali-radames/
Mario Godoy,Contemporary,https://www.cglib.org/category/20th-century/godoy-mario/
Ramon Cruz Gomez,Contemporary,https://www.cglib.org/category/20th-century/gomez-ramon-cruz/
